t,x
5.6605216432, -0.6180091464
5.6614641210, -0.6189748179
5.6624065988, -0.6199410067
5.6633490766, -0.6209077122
5.6642915544, -0.6218749337
5.6652340322, -0.6228426705
5.6661765100, -0.6238109219
5.6671189878, -0.6247796873
5.6680614656, -0.6257489659
5.6690039434, -0.6267187572
5.6699464212, -0.6276890603
5.6708888990, -0.6286598746
5.6718313768, -0.6296311995
5.6727738546, -0.6306030342
5.6737163324, -0.6315753781
5.6746588102, -0.6325482304
5.6756012880, -0.6335215905
5.6765437658, -0.6344954578
5.6774862436, -0.6354698314
5.6784287214, -0.6364447108
5.6793711992, -0.6374200951
5.6803136770, -0.6383959839
5.6812561548, -0.6393723763
5.6821986325, -0.6403492716
5.6831411103, -0.6413266692
5.6840835881, -0.6423045684
5.6850260659, -0.6432829685
5.6859685437, -0.6442618688
5.6869110215, -0.6452412687
5.6878534993, -0.6462211673
5.6887959771, -0.6472015640
5.6897384549, -0.6481824582
5.6906809327, -0.6491638492
5.6916234105, -0.6501457361
5.6925658883, -0.6511281184
5.6935083661, -0.6521109954
5.6944508439, -0.6530943663
5.6953933217, -0.6540782305
5.6963357995, -0.6550625872
5.6972782773, -0.6560474359
5.6982207551, -0.6570327757
5.6991632329, -0.6580186059
5.7001057107, -0.6590049259
5.7010481885, -0.6599917351
5.7019906663, -0.6609790325
5.7029331441, -0.6619668177
5.7038756219, -0.6629550899
5.7048180997, -0.6639438483
5.7057605774, -0.6649330923
5.7067030552, -0.6659228211
5.7076455330, -0.6669130342
5.7085880108, -0.6679037307
5.7095304886, -0.6688949100
5.7104729664, -0.6698865713
5.7114154442, -0.6708787140
5.7123579220, -0.6718713374
5.7133003998, -0.6728644407
5.7142428776, -0.6738580233
5.7151853554, -0.6748520844
5.7161278332, -0.6758466234
5.7170703110, -0.6768416395
5.7180127888, -0.6778371320
5.7189552666, -0.6788331003
5.7198977444, -0.6798295435
5.7208402222, -0.6808264611
5.7217827000, -0.6818238522
5.7227251778, -0.6828217163
5.7236676556, -0.6838200525
5.7246101334, -0.6848188602
5.7255526112, -0.6858181386
5.7264950890, -0.6868178872
5.7274375668, -0.6878181050
5.7283800446, -0.6888187915
5.7293225224, -0.6898199459
5.7302650001, -0.6908215675
5.7312074779, -0.6918236556
5.7321499557, -0.6928262095
5.7330924335, -0.6938292284
5.7340349113, -0.6948327117
5.7349773891, -0.6958366586
5.7359198669, -0.6968410685
5.7368623447, -0.6978459406
5.7378048225, -0.6988512742
5.7387473003, -0.6998570685
5.7396897781, -0.7008633229
5.7406322559, -0.7018700367
5.7415747337, -0.7028772091
5.7425172115, -0.7038848394
5.7434596893, -0.7048929270
5.7444021671, -0.7059014710
5.7453446449, -0.7069104707
5.7462871227, -0.7079199255
5.7472296005, -0.7089298346
5.7481720783, -0.7099401974
5.7491145561, -0.7109510130
5.7500570339, -0.7119622807
5.7509995117, -0.7129740000
5.7519419895, -0.7139861699
5.7528844673, -0.7149987898
5.7538269450, -0.7160118591
5.7547694228, -0.7170253768
5.7557119006, -0.7180393424
5.7566543784, -0.7190537551
5.7575968562, -0.7200686142
5.7585393340, -0.7210839190
5.7594818118, -0.7220996687
5.7604242896, -0.7231158626
5.7613667674, -0.7241325000
5.7623092452, -0.7251495802
5.7632517230, -0.7261671024
5.7641942008, -0.7271850659
5.7651366786, -0.7282034700
5.7660791564, -0.7292223139
5.7670216342, -0.7302415970
5.7679641120, -0.7312613185
5.7689065898, -0.7322814776
5.7698490676, -0.7333020737
5.7707915454, -0.7343231060
5.7717340232, -0.7353445738
5.7726765010, -0.7363664764
5.7736189788, -0.7373888129
5.7745614566, -0.7384115828
5.7755039344, -0.7394347852
5.7764464122, -0.7404584195
5.7773888900, -0.7414824848
5.7783313677, -0.7425069806
5.7792738455, -0.7435319059
5.7802163233, -0.7445572602
5.7811588011, -0.7455830426
5.7821012789, -0.7466092525
5.7830437567, -0.7476358891
5.7839862345, -0.7486629516
5.7849287123, -0.7496904394
5.7858711901, -0.7507183516
5.7868136679, -0.7517466877
5.7877561457, -0.7527754467
5.7886986235, -0.7538046281
5.7896411013, -0.7548342310
5.7905835791, -0.7558642547
5.7915260569, -0.7568946985
5.7924685347, -0.7579255616
5.7934110125, -0.7589568433
5.7943534903, -0.7599885429
5.7952959681, -0.7610206596
5.7962384459, -0.7620531927
5.7971809237, -0.7630861415
5.7981234015, -0.7641195051
5.7990658793, -0.7651532830
5.8000083571, -0.7661874742
5.8009508349, -0.7672220781
5.8018933126, -0.7682570940
5.8028357904, -0.7692925211
5.8037782682, -0.7703283586
5.8047207460, -0.7713646058
5.8056632238, -0.7724012620
5.8066057016, -0.7734383265
5.8075481794, -0.7744757984
5.8084906572, -0.7755136771
5.8094331350, -0.7765519617
5.8103756128, -0.7775906516
5.8113180906, -0.7786297461
5.8122605684, -0.7796692442
5.8132030462, -0.7807091454
5.8141455240, -0.7817494489
5.8150880018, -0.7827901539
5.8160304796, -0.7838312596
5.8169729574, -0.7848727654
5.8179154352, -0.7859146705
5.8188579130, -0.7869569741
5.8198003908, -0.7879996755
5.8207428686, -0.7890427739
5.8216853464, -0.7900862686
5.8226278242, -0.7911301589
5.8235703020, -0.7921744439
5.8245127798, -0.7932191229
5.8254552576, -0.7942641953
5.8263977353, -0.7953096602
5.8273402131, -0.7963555169
5.8282826909, -0.7974017646
5.8292251687, -0.7984484026
5.8301676465, -0.7994954301
5.8311101243, -0.8005428464
5.8320526021, -0.8015906507
5.8329950799, -0.8026388423
5.8339375577, -0.8036874204
5.8348800355, -0.8047363842
5.8358225133, -0.8057857331
5.8367649911, -0.8068354662
5.8377074689, -0.8078855829
5.8386499467, -0.8089360822
5.8395924245, -0.8099869636
5.8405349023, -0.8110382262
5.8414773801, -0.8120898692
5.8424198579, -0.8131418920
5.8433623357, -0.8141942938
5.8443048135, -0.8152470737
5.8452472913, -0.8163002311
5.8461897691, -0.8173537652
5.8471322469, -0.8184076752
5.8480747247, -0.8194619604
5.8490172025, -0.8205166200
5.8499596802, -0.8215716533
5.8509021580, -0.8226270594
5.8518446358, -0.8236828377
5.8527871136, -0.8247389873
5.8537295914, -0.8257955076
5.8546720692, -0.8268523977
5.8556145470, -0.8279096570
5.8565570248, -0.8289672845
5.8574995026, -0.8300252796
5.8584419804, -0.8310836415
5.8593844582, -0.8321423695
5.8603269360, -0.8332014627
5.8612694138, -0.8342609205
5.8622118916, -0.8353207420
5.8631543694, -0.8363809264
5.8640968472, -0.8374414732
5.8650393250, -0.8385023813
5.8659818028, -0.8395636502
5.8669242806, -0.8406252790
5.8678667584, -0.8416872670
5.8688092362, -0.8427496133
5.8697517140, -0.8438123173
5.8706941918, -0.8448753782
5.8716366696, -0.8459387951
5.8725791474, -0.8470025674
5.8735216252, -0.8480666943
5.8744641029, -0.8491311749
5.8754065807, -0.8501960086
5.8763490585, -0.8512611945
5.8772915363, -0.8523267320
5.8782340141, -0.8533926201
5.8791764919, -0.8544588582
5.8801189697, -0.8555254455
5.8810614475, -0.8565923812
5.8820039253, -0.8576596646
5.8829464031, -0.8587272948
5.8838888809, -0.8597952711
5.8848313587, -0.8608635928
5.8857738365, -0.8619322590
5.8867163143, -0.8630012690
5.8876587921, -0.8640706220
5.8886012699, -0.8651403172
5.8895437477, -0.8662103540
5.8904862255, -0.8672807314
5.8914287033, -0.8683514487
5.8923711811, -0.8694225052
5.8933136589, -0.8704939001
5.8942561367, -0.8715656326
5.8951986145, -0.8726377019
5.8961410923, -0.8737101072
5.8970835701, -0.8747828479
5.8980260478, -0.8758559230
5.8989685256, -0.8769293319
5.8999110034, -0.8780030737
5.9008534812, -0.8790771477
5.9017959590, -0.8801515531
